statecd,name,nytID,state,district
OR4,Peter DeFazio,D000191,OR,4
CO1,Diana DeGette,D000197,CO,1
CT3,Rosa DeLauro,D000216,CT,3
TX35,Lloyd Doggett,D000399,TX,35
PA14,Mike Doyle,D000482,PA,14
TN2,John Duncan Jr.,D000533,TN,2
CA53,Susan Davis,D000598,CA,53
FL25,Mario Diaz-Balart,D000600,FL,25
PA15,Charlie Dent,D000604,PA,15
FL21,Ted Deutch,D000610,FL,21
CA10,Jeffrey Denham,D000612,CA,10
IL10,Robert Dold,D000613,IL,10
WI7,Sean Duffy,D000614,WI,7
SC3,Jeffrey Duncan,D000615,SC,3
TN4,Scott DesJarlais,D000616,TN,4
WA1,Suzan DelBene,D000617,WA,1
IL13,Rodney Davis,D000619,IL,13
MD6,John Delaney,D000620,MD,6
FL6,Ron DeSantis,D000621,FL,6
IL8,Tammy Duckworth,D000622,IL,8
CA11,Mark DeSaulnier,D000623,CA,11
MI12,Debbie Dingell,D000624,MI,12
NY11,Daniel Donovan,D000625,NY,11
NY16,Eliot Engel,E000179,NY,16
CA18,Anna Eshoo,E000215,CA,18
MN5,Keith Ellison,E000288,MN,5
MD4,Donna Edwards,E000290,MD,4
NC2,Renee Ellmers,E000291,NC,2
CT5,Elizabeth Esty,E000293,CT,5
MN6,Tom Emmer,E000294,MN,6
CA20,Sam Farr,F000030,CA,20
PA2,Chaka Fattah,F000043,PA,2
NJ11,Rodney Frelinghuysen,F000372,NJ,11
VA4,J. Forbes,F000445,VA,4
AZ8,Trent Franks,F000448,AZ,8
NE1,Jeff Fortenberry,F000449,NE,1
NC5,Virginia Foxx,F000450,NC,5
PA8,Michael Fitzpatrick,F000451,PA,8
IL11,Bill Foster,F000454,IL,11
OH11,Marcia Fudge,F000455,OH,11
LA4,John Fleming,F000456,LA,4
TN8,Stephen Fincher,F000458,TN,8
TN3,Chuck Fleischmann,F000459,TN,3
TX27,Blake Farenthold,F000460,TX,27
TX17,Bill Flores,F000461,TX,17
FL22,Lois Frankel,F000462,FL,22
VA6,Robert Goodlatte,G000289,VA,6
TX12,Kay Granger,G000377,TX,12
TX29,Gene Green,G000410,TX,29
IL4,Luis Gutierrez,G000535,IL,4
MO6,Sam Graves,G000546,MO,6
NJ5,Scott Garrett,G000548,NJ,5
AZ3,Raúl Grijalva,G000551,AZ,3
TX1,Louie Gohmert,G000552,TX,1
TX9,Al Green,G000553,TX,9
FL9,Alan Grayson,G000556,FL,9
KY2,Brett Guthrie,G000558,KY,2
CA3,John Garamendi,G000559,CA,3
GA14,Tom Graves,G000560,GA,14
OH7,Bob Gibbs,G000563,OH,7
NY19,Chris Gibson,G000564,NY,19
AZ4,Paul Gosar,G000565,AZ,4
SC4,Trey Gowdy,G000566,SC,4
VA9,Morgan Griffith,G000568,VA,9
NY11,Mike Grimm,G000569,NY,11
NH1,Frank Guinta,G000570,NH,1
HI2,Tulsi Gabbard,G000571,HI,2
AZ7,Ruben Gallego,G000574,AZ,7
FL2,Gwen Graham,G000575,FL,2
WI6,Glenn Grothman,G000576,WI,6
LA6,Garret Graves,G000577,LA,6
FL20,Alcee Hastings,H000324,FL,20
