statecd,districtID,ClintonDelegates,SandersDelegates,DifferenceDelegates,ClintonVotes,SandersVotes,ClintonPreportion,SandersPreportion,DifferenceVotes,DifferencePreportionVotes
PA18,341,3,3,0,"53,250","40,473",56.8%,43.2%,12777,0.1363272623
RI1,342,4,4,0,"29,031","32,773",47%,53%,-3742,-0.06054624296
RI2,343,3,4,-1,"23,718","34,220",40.9%,59.1%,-10502,-0.1812627291
SC1,344,3,2,1,"35,639","18,752",65.5%,34.5%,16887,0.3104741593
SC2,345,3,2,1,"35,353","15,559",69.4%,30.6%,19794,0.3887884978
SC3,346,2,1,1,"24,499","9,946",71.1%,28.9%,14553,0.4224996371
SC4,347,3,1,2,"27,288","13,988",66.1%,33.9%,13300,0.3222211455
SC5,348,4,1,3,"35,965","11,113",76.4%,23.6%,24852,0.5278898849
SC6,349,7,1,6,"71,525","14,094",83.5%,16.5%,57431,0.6707740104
SC7,350,4,1,3,"38,791","11,811",76.7%,23.3%,26980,0.5331805067
SD0,351,NA,NA,NA,NA,NA,NA,NA,NA,NA
TN1,352,2,2,0,"11,099","10,139",52.3%,47.7%,960,0.04520199642
TN2,353,2,2,0,"17,727","15,811",52.9%,47.1%,1916,0.05712922655
TN3,354,3,2,1,"23,342","13,546",63.3%,36.7%,9796,0.2655606159
TN4,355,2,2,0,"17,154","10,502",62%,38%,6652,0.240526468
TN5,356,4,2,2,"45,971","23,556",66.1%,33.9%,22415,0.3223927395
TN6,357,3,1,2,"20,105","11,163",64.3%,35.7%,8942,0.2859792759
TN7,358,3,2,1,"21,346","10,877",66.2%,33.8%,10469,0.3248921578
TN8,359,4,1,3,"16,320","4,692",77.7%,22.3%,11628,0.5533980583
TN9,360,6,1,5,"50,513","12,149",80.6%,19.4%,38364,0.6122370815
TX1,361,2,1,1,"20,781","6,452",76.3%,23.7%,14329,0.5261631109
TX2,362,3,1,2,"21,960","10,821",67%,33%,11139,0.3398004942
TX3,363,2,1,1,"16,656","6,718",71.3%,28.7%,9938,0.4251732694
TX4,364,3,1,2,"27,243","11,308",70.7%,29.3%,15935,0.4133485513
TX5,365,3,2,1,"24,764","20,015",55.3%,44.7%,4749,0.1060541772
TX6,366,3,1,2,"25,116","9,312",73%,27%,15804,0.4590449634
TX7,367,3,1,2,"21,566","11,975",64.3%,35.7%,9591,0.2859485406
TX8,368,3,2,1,"25,839","17,577",59.5%,40.5%,8262,0.1902985075
TX9,369,2,2,0,"21,787","13,735",61.3%,38.7%,8052,0.2266764259
TX10,370,4,2,2,"39,135","17,382",69.2%,30.8%,21753,0.384893041
TX11,371,3,1,2,"23,352","11,632",66.8%,33.2%,11720,0.3350102904
TX12,372,2,2,0,"21,258","15,900",57.2%,42.8%,5358,0.1441950589
TX13,373,6,2,4,"51,519","12,117",81%,19%,39402,0.6191778239
TX14,374,5,5,0,"57,473","60,240",48.8%,51.2%,-2767,-0.02350632471
TX15,375,4,2,2,"37,240","14,654",71.8%,28.2%,22586,0.4352333603
TX16,376,3,2,1,"30,114","16,303",64.9%,35.1%,13811,0.2975418489
TX17,377,3,2,1,"31,442","14,390",68.6%,31.4%,17052,0.3720544598
TX18,378,3,1,2,"23,325","9,975",70%,30%,13350,0.4009009009
TX19,379,4,1,3,"39,339","16,113",70.9%,29.1%,23226,0.418848734
TX20,380,4,1,3,"42,547","16,704",71.8%,28.2%,25843,0.436161415
TX21,381,3,2,1,"48,630","23,524",67.4%,32.6%,25106,0.3479502176
TX22,382,3,1,2,"20,199","9,148",68.8%,31.2%,11051,0.3765631921
TX23,383,6,2,4,"58,821","15,176",79.5%,20.5%,43645,0.589821209
TX24,384,2,1,1,"17,253","9,970",63.4%,36.6%,7283,0.2675311318
TX25,385,4,2,2,"34,258","24,390",58.4%,41.6%,9868,0.1682580821
TX26,386,4,2,2,"38,554","18,319",67.8%,32.2%,20235,0.3557927312
TX27,387,3,1,2,"43,728","16,662",72.4%,27.6%,27066,0.4481867859
TX28,388,1,1,0,"12,138","8,094",60%,40%,4044,0.199881376
TX29,389,3,1,2,"37,485","18,012",67.5%,32.5%,19473,0.3508838316
TX30,390,1,2,-1,"13,307","13,364",49.9%,50.1%,-57,-0.002137152713
TX31,391,1,1,0,"8,544","5,491",60.9%,39.1%,3053,0.2175276095
TX32,392,7,4,3,935373,475473,66.3%,33.7%,459900,0.325974628
TX33,393,7,3,4,935373,475473,66.3%,33.7%,459900,0.325974628
TX34,394,6,3,3,935373,475473,66.3%,33.7%,459900,0.325974628
TX35,395,6,3,3,935373,475473,66.3%,33.7%,459900,0.325974628
TX36,396,6,3,3,935373,475473,66.3%,33.7%,459900,0.325974628
UT1,397,1,4,-3,"3,266","13,327",19.7%,80.3%,-10061,-0.6063400229
UT2,398,1,5,-4,"4,674","18,342",20.3%,79.7%,-13668,-0.5938477581
UT3,399,1,4,-3,"3,433","13,079",20.8%,79.2%,-9646,-0.5841812016
UT4,400,1,5,-4,"4,120","15,918",20.6%,79.4%,-11798,-0.5887813155
VT0,401,0,11,-11,"18,333","115,865",13.7%,86.3%,-97532,-0.7267768521
VA1,402,3,2,1,"40,445","23,870",62.9%,37.1%,16575,0.2577159294
VA2,403,3,2,1,"37,970","20,946",64.4%,35.6%,17024,0.2889537647
VA3,404,6,2,4,"76,031","26,954",73.8%,26.2%,49077,0.4765451279
VA4,405,5,1,4,"50,644","16,516",75.4%,24.6%,34128,0.5081596188
VA5,406,3,2,1,"37,571","22,772",62.3%,37.7%,14799,0.2452479989
VA6,407,2,2,0,"23,915","21,434",52.7%,47.3%,2481,0.05470903438
VA7,408,3,2,1,"43,586","26,838",61.9%,38.1%,16748,0.2378166534
VA8,409,5,3,2,"72,383","35,408",67.2%,32.8%,36975,0.3430249279
VA9,410,2,1,1,"17,451","15,840",52.4%,47.6%,1611,0.04839145715
VA10,411,4,2,2,"46,179","30,578",60.2%,39.8%,15601,0.2032518207
VA11,412,4,3,1,"57,816","34,787",62.4%,37.6%,23029,0.2486852478
WA1,413,2,5,-3,821,2185,27.3%,72.7%,-1364,-0.4537591484
WA2,414,2,5,-3,661,2075,24.2%,75.8%,-1414,-0.5168128655
WA3,415,1,5,-4,458,1741,20.8%,79.2%,-1283,-0.5834470214
WA4,416,1,3,-2,334,1221,21.5%,78.5%,-887,-0.5704180064
WA5,417,1,4,-3,474,1640,22.4%,77.6%,-1166,-0.5515610218
WA6,418,2,5,-3,666,1748,27.6%,72.4%,-1082,-0.4482187241
WA7,419,4,8,-4,1098,2315,32.2%,67.8%,-1217,-0.3565777908
WA8,420,2,4,-2,896,2024,30.7%,69.3%,-1128,-0.3863013699
WA9,421,2,5,-3,1113,2312,32.5%,67.5%,-1199,-0.3500729927
WA10,422,1,5,-4,620,1898,24.6%,75.4%,-1278,-0.5075456712
WV1,423,3,4,-1,"28,622","43,347",39.8%,60.2%,-14725,-0.2046019814
WV2,424,3,4,-1,"30,885","37,944",44.9%,55.1%,-7059,-0.1025585146
WV3,425,2,4,-2,"26,862","42,584",38.7%,61.3%,-15722,-0.2263917288
WI1,426,3,3,0,"47,428","57,405",45.2%,54.8%,-9977,-0.0951704139
WI2,427,4,7,-3,"77,857","127,969",37.8%,62.2%,-50112,-0.2434677835
WI3,428,3,4,-1,"47,741","76,036",38.6%,61.4%,-28295,-0.228596589
WI4,429,5,5,0,"80,799","71,912",52.9%,47.1%,8887,0.058194891
WI5,430,2,3,-1,"46,091","54,935",45.6%,54.4%,-8844,-0.08754182092
WI6,431,3,3,0,"44,946","61,088",42.4%,57.6%,-16142,-0.152234189
WI7,432,3,3,0,"42,891","58,687",42.2%,57.8%,-15796,-0.1555061135
WI8,433,3,3,0,"45,986","62,160",42.5%,57.5%,-16174,-0.1495570802
WY0,434,7,7,0,124,156,44.3%,55.7%,-32,-0.1142857143
