statecd,districtID,Clinton2016,Trump2016,Obama2012,Romney2012,Margin2016,Margin2012,MarginChange,HouseDem,HouseRep,HouseMargin,HousePresMargin
FL25,111,47.9,49.6,44.9,54.5,-1.7,-9.6,7.9,37.63978834,62.36021166,-24.72042331,23.02042331
FL26,112,56.7,40.6,55.4,43.9,16.1,11.5,4.6,41.16781088,52.95000392,-11.78219304,27.88219304
FL27,113,58.6,38.9,53,46.3,19.7,6.7,13,45.10614335,54.89385665,-9.787713303,29.4877133
GA1,114,40.9,56.4,43,55.9,-15.5,-12.9,-2.6,0,100,-100,84.5
GA2,115,55,43.3,58.6,40.8,11.7,17.8,-6.1,61.22984843,38.77015157,22.45969687,-10.75969687
GA3,116,32.8,64.3,33,65.9,-31.5,-32.9,1.4,31.65340203,68.34659797,-36.69319595,5.193195948
GA4,117,75.3,22.2,73.6,25.6,53.1,48,5.1,75.71945972,24.28054028,51.43891944,1.661080557
GA5,118,85,11.9,83.1,15.8,73.1,67.3,5.8,84.43914303,15.56085697,68.87828607,4.22171393
GA6,119,46.8,48.3,37.5,60.8,-1.5,-23.3,21.8,38.31751047,61.68248953,-23.36497906,21.86497906
GA7,120,44.8,51.1,38.3,60.2,-6.3,-21.9,15.6,39.61831558,60.38168442,-20.76336884,14.46336884
GA8,121,34.4,63.3,37.5,61.6,-28.9,-24.1,-4.8,32.35708065,67.64291935,-35.2858387,6.385838699
GA9,122,19.3,77.8,20.5,78.1,-58.5,-57.6,-0.9,0,100,-100,41.5
GA10,123,35.8,61.3,36.3,62.5,-25.5,-26.2,0.7,0,100,-100,74.5
GA11,124,35.3,60.3,31.5,66.9,-25,-35.4,10.4,32.59422612,67.40577388,-34.81154776,9.811547764
GA12,125,40.7,56.9,43.6,55.4,-16.2,-11.8,-4.4,38.3991472,61.6008528,-23.2017056,7.001705599
GA13,126,71,26.6,69.2,30,44.4,39.2,5.2,100,0,100,-55.6
GA14,127,22.1,75,25.3,73.2,-52.9,-47.9,-5,0,100,-100,47.1
HI1,128,63.1,30.5,69.7,29,32.6,40.7,-8.1,71.86161092,22.71134678,49.15026414,-16.55026414
HI2,129,61.4,29.6,71.4,26.7,31.8,44.7,-12.9,81.15677668,18.84322332,62.31355336,-30.51355336
ID1,130,25.4,63.7,32.2,64.9,-38.3,-32.7,-5.6,31.81364093,68.17144449,-36.35780356,-1.942196439
ID2,131,29.8,54.5,33.1,64.1,-24.7,-31,6.3,29.40806837,62.9272584,-33.51919004,8.819190037
IL1,132,75.4,21.4,79,20.2,54,58.8,-4.8,74.09469958,25.90276766,48.19193192,5.80806808
IL2,133,78,19.1,80.7,18.5,58.9,62.2,-3.3,79.80762048,20.19237952,59.61524097,-0.7152409667
IL3,134,55.2,39.9,55.9,42.6,15.3,13.3,2,99.9596293,0,99.9596293,-84.6596293
IL4,135,82.1,13.2,80.9,17.1,68.9,63.8,5.1,100,0,100,-31.1
