statecd	districtID	Party	Party	White	Latino	Black	Asian	Native American	Multiracial	bernieAttendance
GA4	117	 D	0	0.2738	0.0934	0.5668	0.0432	0.0019	0.0178	0
GA5	118	 D	0	0.2799	0.0789	0.5849	0.0361	0.0019	0.0161	364
GA6	119	 R	1	0.627	0.1335	0.1209	0.0943	0.0016	0.0183	48
GA7	120	 R	1	0.4991	0.1878	0.1745	0.115	0.0018	0.0184	30
GA8	121	 R	1	0.6187	0.0572	0.2939	0.0131	0.0024	0.013	40
GA9	122	 R	1	0.7943	0.1148	0.0651	0.0109	0.0024	0.0112	109
GA10	123	 R	1	0.6687	0.0471	0.2471	0.0199	0.0019	0.0134	96
GA11	124	 R	1	0.6891	0.1085	0.1517	0.0276	0.0022	0.017	83
GA12	125	 D	0	0.5706	0.0533	0.3409	0.0153	0.0023	0.0154	92
GA13	126	 D	0	0.3044	0.103	0.5448	0.0243	0.0022	0.0183	114
GA14	127	 R	1	0.789	0.1026	0.0821	0.0088	0.0023	0.0136	14
HI1	128	 D	0	0.1665	0.0692	0.0179	0.5067	0.0015	0.1619	135
HI2	129	 D	0	0.2884	0.1084	0.0114	0.2478	0.0027	0.2263	296
ID1	130	 R	1	0.8525	0.1004	0.0043	0.0102	0.0116	0.0187	191
ID2	131	 R	1	0.8269	0.1241	0.007	0.0134	0.0108	0.0154	238
IL1	132	 D	0	0.3536	0.0879	0.5264	0.0177	0.0014	0.0119	50
IL2	133	 D	0	0.296	0.1277	0.5528	0.0065	0.0015	0.0139	95
IL3	134	 D	0	0.6215	0.2868	0.0447	0.0354	0.001	0.0095	6
IL4	135	 D	0	0.2128	0.7107	0.0394	0.0264	0.0011	0.0078	300
IL5	136	 D	0	0.7031	0.187	0.0256	0.0649	0.0015	0.016	582
IL6	137	 R	1	0.7941	0.0875	0.0245	0.0777	0.0009	0.014	205
IL7	138	 D	0	0.2638	0.13	0.5313	0.0578	0.0014	0.0139	335
IL8	139	 D	0	0.5524	0.2651	0.0457	0.1188	0.0013	0.0152	36
IL9	140	 D	0	0.6581	0.1105	0.0873	0.1197	0.0014	0.0206	456
IL10	141	 D	0	0.6092	0.2143	0.0658	0.0907	0.0014	0.0161	200
IL11	142	 D	0	0.5477	0.2555	0.1107	0.0674	0.0012	0.0161	305
IL12	143	 D	0	0.7717	0.0291	0.1689	0.0098	0.0022	0.0168	163
IL13	144	 R	1	0.8112	0.0294	0.105	0.0321	0.0019	0.0188	507
IL14	145	 R	1	0.8071	0.1122	0.0263	0.0393	0.0013	0.0127	107
IL15	146	 R	1	0.9185	0.0228	0.0397	0.0052	0.0019	0.0112	12
IL16	147	 R	1	0.8563	0.0837	0.0322	0.0135	0.0015	0.0119	285
IL17	148	 D	0	0.7771	0.0811	0.1099	0.0101	0.002	0.0187	136
IL18	149	 R	1	0.9043	0.0234	0.0352	0.0213	0.0016	0.0131	163
IN1	150	 D	0	0.6385	0.138	0.1956	0.0116	0.002	0.0131	127
IN2	151	 R	1	0.8186	0.0826	0.0664	0.0108	0.003	0.0171	137
IN3	152	 R	1	0.852	0.054	0.059	0.0157	0.0025	0.0153	169
IN4	153	 R	1	0.8782	0.0525	0.0309	0.0221	0.002	0.013	54
IN5	154	 R	1	0.8282	0.0422	0.0815	0.0273	0.0018	0.0167	99
IN6	155	 R	1	0.9281	0.0233	0.0244	0.0088	0.0018	0.0123	62
IN7	156	 D	0	0.5699	0.099	0.285	0.0186	0.0023	0.0222	150
IN8	157	 R	1	0.9145	0.0205	0.0398	0.0084	0.0021	0.0134	183
IN9	158	 R	1	0.9101	0.0287	0.0254	0.0175	0.0022	0.0146	193
IA1	159	 D	0	0.9054	0.0328	0.0321	0.0108	0.0032	0.014	120
IA2	160	 D	0	0.8817	0.0479	0.033	0.0191	0.002	0.0152	291
IA3	161	 R	1	0.8592	0.0611	0.0372	0.0237	0.0023	0.0151	139
IA4	162	 R	1	0.9004	0.0572	0.0118	0.0155	0.0038	0.0104	89
KS1	163	 R	1	0.7929	0.1417	0.0277	0.0141	0.0044	0.0174	50
KS2	164	 R	1	0.8423	0.056	0.046	0.0122	0.0152	0.0268	106
KS3	165	 R	1	0.7362	0.1135	0.0871	0.0372	0.0035	0.0205	112
KS4	166	 R	1	0.7557	0.1096	0.0672	0.0304	0.0092	0.0263	161
KY1	167	 R	1	0.8833	0.0256	0.0685	0.0049	0.002	0.0142	72
KY2	168	 R	1	0.8864	0.0291	0.0533	0.0106	0.0024	0.0162	18
KY3	169	 D	0	0.7009	0.0444	0.2097	0.0214	0.002	0.0194	152
KY4	170	 R	1	0.9121	0.0288	0.0318	0.01	0.0018	0.0139	90
KY5	171	 R	1	0.9624	0.0108	0.0133	0.0031	0.0018	0.0082	17
KY6	172	 R	1	0.834	0.045	0.0839	0.0169	0.0019	0.0167	456
LA1	173	 R	1	0.7448	0.0757	0.1297	0.0195	0.013	0.0146	70
LA2	174	 D	0	0.2867	0.0574	0.615	0.0247	0.0028	0.0112	224
LA3	175	 R	1	0.6895	0.0305	0.2466	0.0129	0.0046	0.014	72
LA4	176	 R	1	0.5961	0.032	0.3382	0.0086	0.008	0.0151	0
LA5	177	 R	1	0.6069	0.0203	0.3508	0.0065	0.0042	0.0105	5
LA6	178	 R	1	0.6957	0.039	0.2288	0.0195	0.0045	0.011	73
ME1	179	 D	0	0.9397	0.0146	0.013	0.0138	0.0032	0.0147	475
ME2	180	 D	0	0.9488	0.0109	0.0098	0.0065	0.0092	0.0139	216
MD1	181	 R	1	0.8156	0.033	0.1139	0.0183	0.002	0.0157	45
MD2	182	 D	0	0.5496	0.0547	0.3187	0.0457	0.0033	0.0257	63
MD3	183	 D	0	0.6291	0.0772	0.2022	0.0639	0.0023	0.0226	202
MD4	184	 D	0	0.2718	0.1363	0.5382	0.0304	0.0023	0.0184	107
MD5	185	 D	0	0.4936	0.0723	0.3642	0.0379	0.0035	0.026	121
MD6	186	 D	0	0.636	0.1127	0.1235	0.0985	0.0018	0.0247	151
MD7	187	 D	0	0.3383	0.0314	0.5493	0.0574	0.0023	0.0192	193
MD8	188	 D	0	0.6386	0.1342	0.1137	0.0862	0.0016	0.022	313
MA1	189	 D	0	0.7597	0.1496	0.0553	0.0173	0.0016	0.015	230
MA2	190	 D	0	0.8087	0.0839	0.0384	0.0455	0.0017	0.0176	607
MA3	191	 D	0	0.7203	0.1624	0.0265	0.0677	0.0012	0.0154	84
MA4	192	 D	0	0.8684	0.0354	0.0219	0.0515	0.0011	0.0166	367
MA5	193	 D	0	0.7543	0.0732	0.0456	0.0909	0.001	0.0217	241
MA6	194	 D	0	0.8504	0.0718	0.0247	0.0357	0.0011	0.0129	271
MA7	195	 D	0	0.4337	0.1957	0.228	0.0939	0.002	0.0269	389
MA8	196	 D	0	0.772	0.0478	0.0756	0.0642	0.0016	0.0209	197
MA9	197	 D	0	0.8843	0.0429	0.0226	0.0109	0.0034	0.021	402
MI1	198	 R	1	0.9209	0.0141	0.0133	0.0054	0.0278	0.0178	333
MI2	199	 R	1	0.8112	0.084	0.0609	0.0195	0.0049	0.0185	101
MI3	200	 R	1	0.8036	0.0693	0.0867	0.0151	0.0038	0.0202	72
MI4	201	 R	1	0.9255	0.0267	0.0176	0.0088	0.0072	0.0135	112
MI5	202	 D	0	0.7453	0.0449	0.1757	0.0081	0.0045	0.0204	103
MI6	203	 R	1	0.8223	0.0526	0.0835	0.0131	0.0049	0.0222	247
MI7	204	 R	1	0.8905	0.0389	0.0407	0.0086	0.0033	0.017	26
MI8	205	 R	1	0.837	0.0454	0.0553	0.0375	0.0035	0.0201	232
MI9	206	 D	0	0.8195	0.0208	0.0999	0.0339	0.003	0.0215	160
MI10	207	 R	1	0.9127	0.029	0.0268	0.0137	0.0032	0.0139	122
MI11	208	 R	1	0.8219	0.0313	0.0503	0.0759	0.0023	0.0171	0
MI12	209	 D	0	0.7653	0.0507	0.1055	0.0467	0.0035	0.0265	503
MI13	210	 D	0	0.334	0.0665	0.5631	0.0106	0.0033	0.0208	367
MI14	211	 D	0	0.313	0.0439	0.5807	0.038	0.0023	0.0203	147
MN1	212	 D	0	0.8843	0.0552	0.023	0.0222	0.0024	0.0118	126
MN2	213	 R	1	0.8422	0.0536	0.0359	0.0419	0.0046	0.02	84
MN3	214	 R	1	0.8094	0.0381	0.0648	0.062	0.003	0.021	17
MN4	215	 D	0	0.7096	0.0629	0.0922	0.1026	0.0057	0.0254	257
MN5	216	 D	0	0.6499	0.0935	0.1533	0.0563	0.012	0.032	604
MN6	217	 R	1	0.9133	0.0231	0.0208	0.023	0.0038	0.0152	50
MN7	218	 D	0	0.9069	0.0381	0.0073	0.0076	0.0259	0.0133	9
MN8	219	 D	0	0.9288	0.0129	0.0087	0.0057	0.0262	0.017	133
MS1	220	 R	1	0.6886	0.0305	0.2623	0.0063	0.0019	0.0094	0
MS2	221	 D	0	0.3227	0.0184	0.6438	0.0049	0.0033	0.0063	0
MS3	222	 R	1	0.6063	0.0231	0.3431	0.0088	0.01	0.0077	121
MS4	223	 R	1	0.704	0.0377	0.2249	0.0143	0.0035	0.0142	3
MO1	224	 D	0	0.4268	0.0304	0.4926	0.0257	0.002	0.0206	366
MO2	225	 R	1	0.8873	0.0237	0.0333	0.039	0.0015	0.014	20
MO3	226	 R	1	0.9206	0.0212	0.0318	0.0085	0.0029	0.0138	241
MO4	227	 R	1	0.8826	0.0324	0.0451	0.0135	0.0048	0.0198	91
MO5	228	 D	0	0.6518	0.0834	0.2174	0.0157	0.0041	0.0238	489
MO6	229	 R	1	0.8974	0.0334	0.0375	0.0108	0.0034	0.0156	184
MO7	230	 R	1	0.8977	0.0432	0.0157	0.0108	0.0093	0.0208	270
MO8	231	 R	1	0.9154	0.0161	0.0446	0.0057	0.0041	0.0135	105
MT0	232	 R	1	0.8779	0.0289	0.0038	0.0062	0.0605	0.0215	276
NE1	233	 R	1	0.8499	0.0746	0.0245	0.0204	0.0114	0.0174	83
NE2	234	 R	1	0.7453	0.1017	0.1006	0.0252	0.0045	0.0203	148
NE3	235	 R	1	0.8683	0.0986	0.0078	0.0068	0.0084	0.0089	20
NV1	236	 D	0	0.3637	0.4277	0.0946	0.0761	0.0046	0.0253	119
NV2	237	 R	1	0.6938	0.2043	0.0173	0.0372	0.0187	0.0232	163
NV3	238	 R	1	0.6114	0.1566	0.0608	0.1207	0.0041	0.0373	301
NV4	239	 D	0	0.4967	0.2726	0.1355	0.0489	0.0075	0.0315	27
NH1	240	 D	0	0.9231	0.0278	0.0116	0.02	0.0018	0.0142	379
NH2	241	 D	0	0.9228	0.028	0.0091	0.0229	0.0023	0.0132	521
NJ1	242	 D	0	0.6569	0.1157	0.1627	0.0449	0.0015	0.0167	307
NJ2	243	 R	1	0.6766	0.1439	0.1229	0.0355	0.0029	0.0168	199
NJ3	244	 R	1	0.7781	0.0655	0.1022	0.0329	0.0012	0.0174	24
NJ4	245	 R	1	0.7899	0.0951	0.0633	0.0373	0.0009	0.0119	220
NJ5	246	 R	1	0.7403	0.1102	0.0423	0.0905	0.0013	0.0134	143
NJ6	247	 D	0	0.5199	0.1964	0.0937	0.1678	0.0014	0.0167	27
NJ7	248	 R	1	0.7568	0.1063	0.0392	0.0813	0.0006	0.0137	243
NJ8	249	 D	0	0.2782	0.5297	0.0887	0.079	0.0013	0.0139	109
NJ9	250	 D	0	0.4247	0.3393	0.0985	0.1193	0.0011	0.0134	19
NJ10	251	 D	0	0.2142	0.1767	0.5169	0.0641	0.0023	0.0187	91
NJ11	252	 R	1	0.775	0.0874	0.0341	0.0868	0.0007	0.014	127
NJ12	253	 D	0	0.5071	0.1564	0.1714	0.1432	0.0014	0.0174	209
NM1	254	 D	0	0.4199	0.4803	0.0233	0.0209	0.0361	0.0167	448
NM2	255	 R	1	0.4015	0.5182	0.0156	0.0071	0.0446	0.011	192
NM3	256	 D	0	0.3933	0.3905	0.0127	0.0104	0.1748	0.0158	429
NY1	257	 D	0	0.7792	0.1254	0.0448	0.0332	0.0024	0.013	63
NY2	258	 R	1	0.6606	0.2047	0.0893	0.0291	0.0015	0.0125	129
NY3	259	 D	0	0.7249	0.0973	0.0289	0.1301	0.0009	0.015	106
NY4	260	 D	0	0.6106	0.1795	0.1377	0.0546	0.0011	0.0127	52
NY5	261	 D	0	0.1215	0.1892	0.4978	0.1132	0.0059	0.0394	26
NY6	262	 D	0	0.3855	0.1815	0.0354	0.3725	0.0012	0.0191	29
NY7	263	 D	0	0.278	0.4312	0.0835	0.1827	0.002	0.0156	347
NY8	264	 D	0	0.2239	0.1802	0.5255	0.0452	0.0025	0.0173	116
NY9	265	 D	0	0.297	0.1127	0.5087	0.0577	0.002	0.0177	361
NY10	266	 D	0	0.6531	0.1216	0.0369	0.1651	0.0009	0.0188	335
NY11	267	 R	1	0.6422	0.1568	0.0688	0.1141	0.0013	0.0143	62
NY12	268	 D	0	0.6702	0.1333	0.0462	0.124	0.0011	0.0203	723
NY13	269	 D	0	0.1223	0.5512	0.2666	0.0392	0.0021	0.0141	215
NY14	270	 D	0	0.2493	0.4752	0.0945	0.1576	0.0018	0.0148	14
NY15	271	 D	0	0.0232	0.6528	0.2898	0.0171	0.0024	0.0091	0
NY16	272	 D	0	0.3932	0.2328	0.3039	0.0454	0.0021	0.0167	113
NY17	273	 D	0	0.6315	0.1949	0.0969	0.0584	0.0011	0.0143	111
NY18	274	 D	0	0.7179	0.1482	0.0836	0.0284	0.0019	0.0176	159
NY19	275	 R	1	0.8633	0.0631	0.0406	0.0135	0.002	0.0157	360
NY20	276	 D	0	0.7959	0.0525	0.0859	0.0363	0.0019	0.0221	428
NY21	277	 D	0	0.9159	0.0267	0.0264	0.0077	0.0087	0.0131	207
NY22	278	 R	1	0.8923	0.0313	0.0357	0.0213	0.0026	0.0158	134
NY23	279	 R	1	0.8999	0.0317	0.0261	0.0189	0.0056	0.0166	234
NY24	280	 D	0	0.8371	0.0366	0.0769	0.022	0.0058	0.0203	77
NY25	281	 D	0	0.7204	0.0744	0.1491	0.0331	0.0021	0.019	461
NY26	282	 D	0	0.7148	0.0542	0.1765	0.0299	0.005	0.0182	145
NY27	283	 R	1	0.927	0.0219	0.0228	0.0089	0.0071	0.0112	73
NC1	284	 D	0	0.3517	0.0799	0.5324	0.0134	0.0073	0.0136	83
NC2	285	 R	1	0.6675	0.1064	0.1612	0.0304	0.0097	0.022	39
NC3	286	 R	1	0.7139	0.0636	0.1836	0.012	0.0042	0.0202	114
NC4	287	 D	0	0.4858	0.1165	0.317	0.0505	0.004	0.0229	329
NC5	288	 R	1	0.7642	0.0822	0.1223	0.0143	0.0024	0.013	127
NC6	289	 R	1	0.7597	0.0567	0.1454	0.0188	0.0034	0.0143	193
NC7	290	 D	0	0.6937	0.0932	0.1725	0.0061	0.0193	0.0135	129
NC8	291	 R	1	0.6325	0.0836	0.1848	0.0111	0.0722	0.0143	10
NC9	292	 R	1	0.743	0.0759	0.1218	0.0378	0.0027	0.0161	145
NC10	293	 R	1	0.7969	0.0563	0.1143	0.0134	0.0028	0.0148	432
NC11	294	 R	1	0.8766	0.0542	0.0305	0.0102	0.0137	0.0133	205
NC12	295	 D	0	0.2906	0.1427	0.5005	0.0402	0.0038	0.0191	121
NC13	296	 R	1	0.7093	0.0796	0.1674	0.0235	0.0029	0.0153	129
ND0	297	 R	1	0.8891	0.02	0.0115	0.0102	0.0529	0.0154	186
OH1	298	 R	1	0.7075	0.0259	0.2198	0.0253	0.0015	0.0174	823
OH2	299	 R	1	0.869	0.0163	0.0827	0.012	0.0021	0.0163	108
OH3	300	 D	0	0.5556	0.0602	0.3187	0.0298	0.0023	0.0301	506
OH4	301	 R	1	0.8899	0.0317	0.0504	0.0073	0.0018	0.0175	40
OH5	302	 R	1	0.906	0.0437	0.0237	0.0119	0.0017	0.0119	131
OH6	303	 R	1	0.9509	0.0086	0.0215	0.0037	0.0019	0.0126	22
OH7	304	 R	1	0.9197	0.0179	0.0392	0.0055	0.0019	0.0146	0
OH8	305	 R	1	0.878	0.0289	0.0568	0.0155	0.0017	0.0173	0
OH9	306	 D	0	0.7104	0.0939	0.1557	0.0123	0.0024	0.0238	88
OH10	307	 R	1	0.7614	0.0223	0.1708	0.0194	0.0021	0.0219	136
OH11	308	 D	0	0.3804	0.0387	0.5362	0.0215	0.0018	0.0195	123
OH12	309	 R	1	0.8827	0.0186	0.0455	0.0312	0.0017	0.0186	74
OH13	310	 D	0	0.827	0.026	0.1136	0.0109	0.0018	0.0192	199
OH14	311	 R	1	0.9063	0.0225	0.0374	0.0191	0.001	0.0127	116
OH15	312	 R	1	0.9051	0.0183	0.0367	0.02	0.002	0.0165	108
OH16	313	 R	1	0.9306	0.0184	0.0177	0.0193	0.0012	0.0117	45
OK1	314	 R	1	0.6706	0.0983	0.0905	0.021	0.0655	0.0527	253
OK2	315	 R	1	0.6615	0.0429	0.0343	0.0051	0.1818	0.0733	103
OK3	316	 R	1	0.7659	0.084	0.0357	0.0121	0.0617	0.0382	40
OK4	317	 R	1	0.7329	0.0725	0.0652	0.0203	0.0583	0.0486	165
OK5	318	 R	1	0.6018	0.1448	0.137	0.027	0.0443	0.0432	85
OR1	319	 D	0	0.7409	0.137	0.0141	0.0659	0.0065	0.0304	660
OR2	320	 R	1	0.8179	0.1235	0.005	0.0093	0.019	0.0223	241
OR3	321	 D	0	0.7295	0.1073	0.0515	0.0622	0.0076	0.0349	941
OR4	322	 D	0	0.8602	0.0671	0.0064	0.0202	0.012	0.031	647
OR5	323	 D	0	0.7744	0.1525	0.0079	0.0244	0.0106	0.0248	466
PA1	324	 D	0	0.4176	0.1538	0.3422	0.0631	0.0019	0.019	217
PA2	325	 D	0	0.2858	0.0541	0.5893	0.0465	0.0026	0.0197	254
PA3	326	 R	1	0.9123	0.0188	0.0453	0.0077	0.0012	0.0137	58
