State-CD,Party,Party,White,Latino,Black,Asian,Native American,Multiracial
IL2, D,0,0.296,0.1277,0.5528,0.0065,0.0015,0.0139
IL3, D,0,0.6215,0.2868,0.0447,0.0354,0.001,0.0095
IL4, D,0,0.2128,0.7107,0.0394,0.0264,0.0011,0.0078
IL5, D,0,0.7031,0.187,0.0256,0.0649,0.0015,0.016
IL6, R,1,0.7941,0.0875,0.0245,0.0777,0.0009,0.014
IL7, D,0,0.2638,0.13,0.5313,0.0578,0.0014,0.0139
IL8, D,0,0.5524,0.2651,0.0457,0.1188,0.0013,0.0152
IL9, D,0,0.6581,0.1105,0.0873,0.1197,0.0014,0.0206
IL10, D,0,0.6092,0.2143,0.0658,0.0907,0.0014,0.0161
IL11, D,0,0.5477,0.2555,0.1107,0.0674,0.0012,0.0161
IL12, D,0,0.7717,0.0291,0.1689,0.0098,0.0022,0.0168
IL13, R,1,0.8112,0.0294,0.105,0.0321,0.0019,0.0188
IL14, R,1,0.8071,0.1122,0.0263,0.0393,0.0013,0.0127
IL15, R,1,0.9185,0.0228,0.0397,0.0052,0.0019,0.0112
IL16, R,1,0.8563,0.0837,0.0322,0.0135,0.0015,0.0119
IL17, D,0,0.7771,0.0811,0.1099,0.0101,0.002,0.0187
IL18, R,1,0.9043,0.0234,0.0352,0.0213,0.0016,0.0131
IN1, D,0,0.6385,0.138,0.1956,0.0116,0.002,0.0131
IN2, R,1,0.8186,0.0826,0.0664,0.0108,0.003,0.0171
IN3, R,1,0.852,0.054,0.059,0.0157,0.0025,0.0153
IN4, R,1,0.8782,0.0525,0.0309,0.0221,0.002,0.013
IN5, R,1,0.8282,0.0422,0.0815,0.0273,0.0018,0.0167
IN6, R,1,0.9281,0.0233,0.0244,0.0088,0.0018,0.0123
IN7, D,0,0.5699,0.099,0.285,0.0186,0.0023,0.0222
IN8, R,1,0.9145,0.0205,0.0398,0.0084,0.0021,0.0134
IN9, R,1,0.9101,0.0287,0.0254,0.0175,0.0022,0.0146
IA1, D,0,0.9054,0.0328,0.0321,0.0108,0.0032,0.014
IA2, D,0,0.8817,0.0479,0.033,0.0191,0.002,0.0152
IA3, R,1,0.8592,0.0611,0.0372,0.0237,0.0023,0.0151
IA4, R,1,0.9004,0.0572,0.0118,0.0155,0.0038,0.0104
KS1, R,1,0.7929,0.1417,0.0277,0.0141,0.0044,0.0174
KS2, R,1,0.8423,0.056,0.046,0.0122,0.0152,0.0268
KS3, R,1,0.7362,0.1135,0.0871,0.0372,0.0035,0.0205
KS4, R,1,0.7557,0.1096,0.0672,0.0304,0.0092,0.0263
KY1, R,1,0.8833,0.0256,0.0685,0.0049,0.002,0.0142
KY2, R,1,0.8864,0.0291,0.0533,0.0106,0.0024,0.0162
KY3, D,0,0.7009,0.0444,0.2097,0.0214,0.002,0.0194
KY4, R,1,0.9121,0.0288,0.0318,0.01,0.0018,0.0139
KY5, R,1,0.9624,0.0108,0.0133,0.0031,0.0018,0.0082
KY6, R,1,0.834,0.045,0.0839,0.0169,0.0019,0.0167
LA1, R,1,0.7448,0.0757,0.1297,0.0195,0.013,0.0146
LA2, D,0,0.2867,0.0574,0.615,0.0247,0.0028,0.0112
LA3, R,1,0.6895,0.0305,0.2466,0.0129,0.0046,0.014
LA4, R,1,0.5961,0.032,0.3382,0.0086,0.008,0.0151
LA5, R,1,0.6069,0.0203,0.3508,0.0065,0.0042,0.0105
LA6, R,1,0.6957,0.039,0.2288,0.0195,0.0045,0.011
ME1, D,0,0.9397,0.0146,0.013,0.0138,0.0032,0.0147
ME2, D,0,0.9488,0.0109,0.0098,0.0065,0.0092,0.0139
MD1, R,1,0.8156,0.033,0.1139,0.0183,0.002,0.0157
MD2, D,0,0.5496,0.0547,0.3187,0.0457,0.0033,0.0257
MD3, D,0,0.6291,0.0772,0.2022,0.0639,0.0023,0.0226
MD4, D,0,0.2718,0.1363,0.5382,0.0304,0.0023,0.0184
MD5, D,0,0.4936,0.0723,0.3642,0.0379,0.0035,0.026
MD6, D,0,0.636,0.1127,0.1235,0.0985,0.0018,0.0247
MD7, D,0,0.3383,0.0314,0.5493,0.0574,0.0023,0.0192
MD8, D,0,0.6386,0.1342,0.1137,0.0862,0.0016,0.022
#N/A, D,0,0.7597,0.1496,0.0553,0.0173,0.0016,0.015
#N/A, D,0,0.8087,0.0839,0.0384,0.0455,0.0017,0.0176
#N/A, D,0,0.7203,0.1624,0.0265,0.0677,0.0012,0.0154
#N/A, D,0,0.8684,0.0354,0.0219,0.0515,0.0011,0.0166
#N/A, D,0,0.7543,0.0732,0.0456,0.0909,0.001,0.0217
#N/A, D,0,0.8504,0.0718,0.0247,0.0357,0.0011,0.0129
#N/A, D,0,0.4337,0.1957,0.228,0.0939,0.002,0.0269
#N/A, D,0,0.772,0.0478,0.0756,0.0642,0.0016,0.0209
#N/A, D,0,0.8843,0.0429,0.0226,0.0109,0.0034,0.021
MI1, R,1,0.9209,0.0141,0.0133,0.0054,0.0278,0.0178
MI2, R,1,0.8112,0.084,0.0609,0.0195,0.0049,0.0185
MI3, R,1,0.8036,0.0693,0.0867,0.0151,0.0038,0.0202
MI4, R,1,0.9255,0.0267,0.0176,0.0088,0.0072,0.0135
MI5, D,0,0.7453,0.0449,0.1757,0.0081,0.0045,0.0204
MI6, R,1,0.8223,0.0526,0.0835,0.0131,0.0049,0.0222
MI7, R,1,0.8905,0.0389,0.0407,0.0086,0.0033,0.017
MI8, R,1,0.837,0.0454,0.0553,0.0375,0.0035,0.0201
MI9, D,0,0.8195,0.0208,0.0999,0.0339,0.003,0.0215
MI10, R,1,0.9127,0.029,0.0268,0.0137,0.0032,0.0139
MI11, R,1,0.8219,0.0313,0.0503,0.0759,0.0023,0.0171
MI12, D,0,0.7653,0.0507,0.1055,0.0467,0.0035,0.0265
MI13, D,0,0.334,0.0665,0.5631,0.0106,0.0033,0.0208
MI14, D,0,0.313,0.0439,0.5807,0.038,0.0023,0.0203
